keyword	mandatory	table_meta	language_dependent	indexed_by_contvariable	quote_value	default_value	documentation
VALUES	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A36%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C212%2C0%5D
UNITS	TRUE	TRUE	TRUE	TRUE	TRUE	units	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A36%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C359%2C0%5D
TIMEVAL	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A54%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C181%2C0%5D
CODES	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A41%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C385%2C0%5D
DOUBLECOLUMN	FALSE	FALSE	FALSE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A46%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C652%2C0%5D
PRESTEXT	FALSE	FALSE	TRUE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A51%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C211%2C0%5D
DOMAIN	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A45%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C214%2C0%5D
VARIABLE-LABEL	FALSE	FALSE	TRUE	FALSE	TRUE	NA	
VARIABLE-TYPE	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A56%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C499%2C0%5D
VARIABLECODE	FALSE	FALSE	TRUE	FALSE	TRUE	NA	
HIERARCHIES	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A46%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C206%2C0%5D
HIERARCHYLEVELS	FALSE	FALSE	TRUE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A47%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C598%2C0%5D
HIERARCHYLEVELSOPEN	FALSE	FALSE	TRUE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A47%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C461%2C0%5D
HIERARCHYNAMES	FALSE	FALSE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A47%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C290%2C0%5D
MAP	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A49%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C354%2C0%5D
PARTITIONED	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A51%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C586%2C0%5D
ELIMINATION	FALSE	FALSE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A46%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C525%2C0%5D
PRECISION	FALSE	FALSE	TRUE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A51%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C385%2C0%5D
LAST-UPDATED	FALSE	TRUE	TRUE	TRUE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A49%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C608%2C0%5D
STOCKFA	FALSE	TRUE	TRUE	TRUE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A54%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C646%2C0%5D
CFPRICES	FALSE	TRUE	TRUE	TRUE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A40%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C178%2C0%5D
DAYADJ	FALSE	FALSE	TRUE	TRUE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A45%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C665%2C0%5D
SEASADJ	FALSE	FALSE	TRUE	TRUE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A53%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C418%2C0%5D
CONTACT	FALSE	TRUE	TRUE	TRUE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A42%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C665%2C0%5D
REFPERIOD	FALSE	FALSE	TRUE	TRUE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A52%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C145%2C0%5D
BASEPERIOD	FALSE	TRUE	TRUE	TRUE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A40%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C586%2C0%5D
DATABASE	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A43%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C665%2C0%5D
SOURCE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A53%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C165%2C0%5D
SURVEY	FALSE	FALSE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A54%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C519%2C0%5D
LINK	FALSE	TRUE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A49%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C453%2C0%5D
INFOFILE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A48%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C659%2C0%5D
FIRST-PUBLISHED	FALSE	FALSE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A46%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C357%2C0%5D
META-ID	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A49%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C224%2C0%5D
OFFICIAL-STATISTICS	FALSE	TRUE	FALSE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A51%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C699%2C0%5D
